No.,Sex,D.O.B,Dam,Sire,Weaning Weight,Slaughter/Sale Date,DW,LW,Sold as Store or Breeding,3/7/2018,2/8/2018,6/9/2018,7/11/2018,6/12/2018,10/1/2019,14/2/2019,21/3/2019,18/4/2019,type
611,F,1/3,675/12,137,42,4/10/2018,,,Store,42,43,49,,,,,,,pedigree
612,F,1/3,455/16,1621,39,,,,,39,41,46,56,50,54,59,64,73,pedigree
613,F,1/3,455/16,1621,35,30/1/2019,,,Prime,35,37,45,54,55,56,58,65,74,pedigree
614,F,2/3,1128/13,590,21,,,,,21,26,32,41,42,43,,,,pedigree
615,F,2/3,1128/13,590,27,,,,,27,29,36,45,44,45,49,54,63,pedigree
616,F,2/3,459/16,1621,39,,,,,39,39,46,51,50,51,53,57,67,pedigree
617,F,3/3,389/15,1621,35,,,,,35,36,41,49,50,50,52,58,65,pedigree
618,F,3/3,389/15,1621,35,,,,,38,37,44,51,51,51,53,57,64,pedigree
619,F,4/3,4/06,137,34,4/10/2018,,,Store,34,35,39,,,,,,,pedigree
620,F,4/3,726/08,590,40,4/10/2018,,,Store,40,40,46,,,,,,,pedigree
621,F,4/3,726/08,590,33,,,,,33,34,42,50,47,48,49,55,63,pedigree
622,M,4/3,1147/13,590,38,17/8/2018,18.3,42,Prime,38,39,,,,,,,,pedigree
623,M,4/3,1147/13,590,41,26/10/2018,26.2,55,Prime,41,44,52,,,,,,,pedigree
624,F,4/3,45/06,137,32,4/10/2018,,,Store,32,34,38,,,,,,,pedigree
625,M,4/3,45/06,137,41,19/9/2018,23.9,,Prime,41,42,,,,,,,,pedigree
626,M,4/3,362/15,1621,40,8/8/2018,19.1,43,Prime,40,42,,,,,,,,pedigree
627,F,6/3,324/15,1621,34,24/1/2023,,,,34,33,40,47,45,47,52,57,67,pedigree
628,M,6/3,324/15,1621,40,,,,,40,40,51,62,62,64,71.5,78,,pedigree
629,F,6/3,194/14,590,36,,,,,36,36,43,48,47,48,50,54,63,pedigree
630,F,6/3,194/14,590,32,4/10/2018,,,Store,32,34,39,,,,,,,pedigree
631,F,6/3,194/14,590,22,10/1/2019,19.1,41,Prime,22,33,30,39,39,41,,,,pedigree
632,M,6/3,1160/13,590,44,25/7/2018,17.5,45,Prime,44,,,,,,,,,pedigree
633,M,6/3,1160/13,590,36,26/10/2018,,52,Prime,36,39,49,,,,,,,pedigree
634,M,6/3,1160/13,590,39,30/11/2018,25.8,56,Prime,39,38,44,54,,,,,,pedigree
635,M,7/3,548/12,137,36,8/8/2018,16.1,43,Prime,36,37,,,,,,,,pedigree
636,F,7/3,548/12,137,32,4/10/2018,,,Store,32,35,41,,,,,,,pedigree
637,M,7/3,195/14,590,39,31/10/2018,23.9,53,Prime,39,39,43,,,,,,,pedigree
638,M,7/3,195/14,590,39,31/10/2018,26,57,Prime,39,41,44,,,,,,,pedigree
639,F,8/3,328/15,1621,34,,,,,34,37,42,51,48,50,51,57,55,pedigree
640,F,8/3,328/15,1621,34,,,,,34,39,44,53,52,51,54,60,67,pedigree
641,F,8/3,809/08,590,35,,,,,35,40,36,50,47,49,52,55,63,pedigree
642,F,8/3,809/08,590,25,10/1/2019,20.7,44,Prime,25,31,35,44,43,44,,,,pedigree
644,F,8/3,510/16,590,35,4/10/2018,,,Store,35,35,40,,,,,,,pedigree
645,M,8/3,510/16,1621,39,7/9/2018,22.1,48,Prime,39,41,49,,,,,,,pedigree
646,F,9/3,2098/09,590,36,,,,,36,36,36,46,45,47,49,54,62,pedigree
647,F,9/3,2098/09,590,35,,,,,35,36,43,49,48,49,52,57,65,pedigree
648,M,9/3,479/16,1621,37,14/9/2018,23.5,,Prime,37,38,51,,,,,,,pedigree
649,F,9/3,479/16,1621,37,,,,,37,40,45,51,51,51,55,58,69,pedigree
650,F,9/3,323/15,1621,35,,,,,35,36,44,52,47,54,55,59,67,pedigree
651,F,9/3,323/15,1621,37,7/9/2021,,,,37,39,45,54,50,53,57,61,71,pedigree
652,M,9/3,184/13,137,40,25/7/2018,17.5,42,Prime,40,,51,,,,,,,pedigree
653,M,10/3,1153/13,590,39,26/9/2018,23.7,53,Prime,39,40,47,,,,,,,pedigree
654,F,10/3,446/16,1621,32,,,,,32,35,40,49,49,49,51,56,64,pedigree
655,M,10/3,446/16,1621,35,26/9/2018,22.1,52,Prime,35,35,46,,,,,,,pedigree
656,M,10/3,1092/13,590,46,29/8/2018,25.4,53,Prime,46,47,,,,,,,,pedigree
657,F,10/3,1092/13,590,30,24/8/2022,,,,30,34,43,52,51,52,55,61,69,pedigree
658,M,10/3,495/16,1621,35,15/10/2018,24.9,53,Prime,35,36,46,,,,,,,pedigree
659,F,10/3,495/16,1621,31,4/10/2018,,,Store,31,32,36,,,,,,,pedigree
660,F,10/3,444/16,1621,28,21/12/2018,19.7,42,Prime,28,31,37,45,43,,,,,pedigree
661,F,10/3,444/16,1621,29,,,,,29,30,34,42,42,43,46,51,59,pedigree
